#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
2	2449509	2450772	AT2G06250	0.0	+	2449509	2450772	0	1	1263	2449507	cluster_1
5	13397089	13399881	AT5G35142	0.0	+	13397089	13399881	0	1	2792	13397088	cluster_1
3	15717074	15717829	AT3G43863	0.0	-	15717074	15717829	0	1	755	15717073	cluster_1
4	4181461	4184183	AT4G07360	0.0	-	4181461	4184183	0	1	2722	4181457	cluster_1
5	12476677	12477134	AT5G33230	0.0	+	12476677	12477134	0	1	457	12476676	cluster_1
1	15500528	15502597	AT1G41720	0.0	+	15500528	15502597	0	1	2069	15500527	cluster_1
5	12289344	12291161	AT5G32622	0.0	+	12289344	12291161	0	1	1817	12289343	cluster_1
5	13320517	13326651	AT5G35057	0.0	-	13320517	13326651	0	1	6134	13320516	cluster_1
2	1631697	1636084	AT2G04670	0.0	-	1631697	1636084	0	1	4387	1631696	cluster_1
4	4033357	4033704	AT4G06728	0.0	-	4033357	4033704	0	1	347	4033353	cluster_1
4	4426899	4429920	AT4G07640	0.0	+	4426899	4429920	0	1	3021	4426895	cluster_1
4	5017421	5020336	AT4G08103	0.0	+	5017421	5020336	0	1	2915	5017416	cluster_1
4	4022825	4024999	AT4G06722	0.0	-	4022825	4024999	0	1	2174	4022821	cluster_1
5	17893946	17896375	AT5G44415	0.0	+	17893946	17896375	0	1	2429	17893945	cluster_1
5	13400552	13402834	AT5G35145	0.0	+	13400552	13402834	0	1	2282	13400551	cluster_1
3	14821960	14823996	AT3G42718	0.0	+	14821960	14823996	0	1	2036	14821959	cluster_1
2	5566998	5575786	AT2G13390	0.0	+	5566998	5575786	0	1	8788	5566993	cluster_1
2	5809672	5813482	AT2G13860	0.0	-	5809672	5813482	0	1	3810	5809667	cluster_1
3	15154032	15155912	AT3G43156	0.0	+	15154032	15155912	0	1	1880	15154031	cluster_1
5	7032527	7033189	AT5G20760	0.0	+	7032527	7033189	0	1	662	7032520	cluster_1
5	12472882	12475965	AT5G33226	0.0	-	12472882	12475965	0	1	3083	12472881	cluster_1
4	4770582	4773320	AT4G07941	0.0	+	4770582	4773320	0	1	2738	4770578	cluster_1
5	12111919	12112694	AT5G32483	0.0	-	12111919	12112694	0	1	775	12111918	cluster_1
5	13373579	13378239	AT5G35113	0.0	-	13373579	13378239	0	1	4660	13373578	cluster_1
4	4960143	4963962	AT4G08078	0.0	+	4960143	4963962	0	1	3819	4960139	cluster_1
5	12520677	12522492	AT5G33255	0.0	-	12520677	12522492	0	1	1815	12520676	cluster_1
5	10765648	10770477	AT5G28715	0.0	+	10765648	10770477	0	1	4829	10765647	cluster_1
5	11773773	11776512	AT5G31945	0.0	+	11773773	11776512	0	1	2739	11773772	cluster_1
1	15707077	15710285	AT1G42050	0.0	-	15707077	15710285	0	1	3208	15707076	cluster_1
1	15710485	15713211	AT1G42060	0.0	-	15710485	15713211	0	1	2726	15710484	cluster_1
2	10088774	10092878	AT2G23720	0.0	-	10088774	10092878	0	1	4104	10088773	cluster_1
4	3993731	3996211	AT4G06714	0.0	-	3993731	3996211	0	1	2480	3993728	cluster_1
4	5021329	5022048	AT4G08104	0.0	-	5021329	5022048	0	1	719	5021324	cluster_1
5	13020822	13022144	AT5G34841	0.0	+	13020822	13022144	0	1	1322	13020821	cluster_1
5	12645572	12647476	AT5G33389	0.0	+	12645572	12647476	0	1	1904	12645571	cluster_1
1	14434173	14436840	AT1G38350	0.0	+	14434173	14436840	0	1	2667	14434172	cluster_1
5	12146025	12148775	AT5G32512	0.0	-	12146025	12148775	0	1	2750	12146024	cluster_1
4	1806588	1809637	AT4G03860	0.0	+	1806588	1809637	0	1	3049	1806587	cluster_1
3	15262136	15265104	AT3G43307	0.0	+	15262136	15265104	0	1	2968	15262135	cluster_1
1	13509837	13514564	AT1G36120	0.0	-	13509837	13514564	0	1	4727	13509836	cluster_1
5	12502073	12506833	AT5G33252	0.0	+	12502073	12506833	0	1	4760	12502072	cluster_1
5	12998469	13001189	AT5G34836	0.0	+	12998469	13001189	0	1	2720	12998468	cluster_1
2	5782178	5786746	AT2G13830	0.0	-	5782178	5786746	0	1	4568	5782173	cluster_1
3	11056624	11061530	AT3G29076	0.0	-	11056624	11061530	0	1	4906	11056623	cluster_1
1	14430747	14432225	AT1G38340	0.0	+	14430747	14432225	0	1	1478	14430746	cluster_1
5	12035633	12041415	AT5G32426	0.0	-	12035633	12041415	0	1	5782	12035632	cluster_1
4	3374741	3378235	AT4G06540	0.0	+	3374741	3378235	0	1	3494	3374738	cluster_1
1	15827696	15833426	AT1G42365	0.0	-	15827696	15833426	0	1	5730	15827695	cluster_1
4	4964226	4966272	AT4G08080	0.0	+	4964226	4966272	0	1	2046	4964222	cluster_1
4	4768785	4769447	AT4G07939	0.0	+	4768785	4769447	0	1	662	4768781	cluster_1
1	14492062	14495814	AT1G38450	0.0	+	14492062	14495814	0	1	3752	14492061	cluster_1
4	1804746	1806300	AT4G03850	0.0	+	1804746	1806300	0	1	1554	1804745	cluster_1
3	15714896	15716641	AT3G43862	0.0	-	15714896	15716641	0	1	1745	15714895	cluster_1
1	15180908	15186517	AT1G40117	0.0	+	15180908	15186517	0	1	5609	15180907	cluster_1
4	3379397	3380776	AT4G06542	0.0	-	3379397	3380776	0	1	1379	3379394	cluster_1
4	3739442	3741301	AT4G06624	0.0	-	3739442	3741301	0	1	1859	3739439	cluster_1
4	4029121	4032111	AT4G06726	0.0	-	4029121	4032111	0	1	2990	4029117	cluster_1
3	15118447	15121602	AT3G43142	0.0	-	15118447	15121602	0	1	3155	15118446	cluster_1
1	16516119	16518727	AT1G43745	0.0	-	16516119	16518727	0	1	2608	16516118	cluster_1
1	16627094	16628095	AT1G43870	0.0	+	16627094	16628095	0	1	1001	16627093	cluster_1
4	2892290	2895196	AT4G05589	0.0	+	2892290	2895196	0	1	2906	2892288	cluster_1
5	13023684	13026784	AT5G34842	0.0	+	13023684	13026784	0	1	3100	13023683	cluster_1
4	3263286	3264419	AT4G06511	0.0	+	3263286	3264419	0	1	1133	3263283	cluster_1
5	12106066	12110796	AT5G32481	0.0	-	12106066	12110796	0	1	4730	12106065	cluster_1
5	12236347	12238106	AT5G32595	0.0	-	12236347	12238106	0	1	1759	12236346	cluster_1
5	13305469	13306464	AT5G35048	0.0	+	13305469	13306464	0	1	995	13305468	cluster_1
4	4034676	4035311	AT4G06730	0.0	-	4034676	4035311	0	1	635	4034672	cluster_1
4	3990945	3992813	AT4G06712	0.0	-	3990945	3992813	0	1	1868	3990942	cluster_1
4	3698609	3700468	AT4G06606	0.0	+	3698609	3700468	0	1	1859	3698606	cluster_1
2	2375867	2378098	AT2G06100	0.0	+	2375867	2378098	0	1	2231	2375865	cluster_1
5	12292463	12294049	AT5G32624	0.0	+	12292463	12294049	0	1	1586	12292462	cluster_1
4	3962925	3965636	AT4G06708	0.0	-	3962925	3965636	0	1	2711	3962922	cluster_1
5	13301420	13304806	AT5G35046	0.0	+	13301420	13304806	0	1	3386	13301419	cluster_1
1	13828493	13831555	AT1G36610	0.0	+	13828493	13831555	0	1	3062	13828492	cluster_1
3	23112500	23114999	AT3G62490	0.0	-	23112500	23114999	0	1	2499	23112498	cluster_1
4	5064591	5067431	AT4G08113	0.0	+	5064591	5067431	0	1	2840	5064586	cluster_1
4	4407229	4407894	AT4G07590	0.0	-	4407229	4407894	0	1	665	4407225	cluster_1
4	3872762	3875569	AT4G06666	0.0	-	3872762	3875569	0	1	2807	3872759	cluster_1
3	12215244	12223941	AT3G30668	0.0	-	12215244	12223941	0	1	8697	12215243	cluster_1
5	12112740	12113504	AT5G32485	0.0	+	12112740	12113504	0	1	764	12112739	cluster_1
4	9909147	9912044	AT4G17820	0.0	-	9909147	9912044	0	1	2897	9909138	cluster_1
1	16525242	16527812	AT1G43755	0.0	-	16525242	16527812	0	1	2570	16525241	cluster_1
2	3767390	3771433	AT2G09950	0.0	-	3767390	3771433	0	1	4043	3767387	cluster_1
4	3381883	3383463	AT4G06543	0.0	-	3381883	3383463	0	1	1580	3381880	cluster_1
4	3742453	3748127	AT4G06626	0.0	-	3742453	3748127	0	1	5674	3742450	cluster_1
2	4978987	4985061	AT2G12370	0.0	+	4978987	4985061	0	1	6074	4978983	cluster_1
4	3959689	3961611	AT4G06704	0.0	-	3959689	3961611	0	1	1922	3959686	cluster_1
1	15491953	15492534	AT1G41723	0.0	+	15491953	15492534	0	1	581	15491952	cluster_1
1	16100290	16102965	AT1G42780	0.0	-	16100290	16102965	0	1	2675	16100289	cluster_1
5	14831432	14833855	AT5G37390	0.0	-	14831432	14833855	0	1	2423	14831431	cluster_1
4	4407955	4408606	AT4G07595	0.0	+	4407955	4408606	0	1	651	4407951	cluster_1
4	4275596	4278539	AT4G07491	0.0	-	4275596	4278539	0	1	2943	4275592	cluster_1
2	4204731	4208510	AT2G10690	0.0	-	4204731	4208510	0	1	3779	4204727	cluster_1
4	4404032	4406056	AT4G07586	0.0	-	4404032	4406056	0	1	2024	4404028	cluster_1
5	12123526	12124662	AT5G32486	0.0	+	12123526	12124662	0	1	1136	12123525	cluster_1
3	15151222	15152538	AT3G43154	0.0	+	15151222	15152538	0	1	1316	15151221	cluster_1
4	4026264	4026602	AT4G06724	0.0	-	4026264	4026602	0	1	338	4026260	cluster_1
4	2831749	2836347	AT4G05556	0.0	+	2831749	2836347	0	1	4598	2831747	cluster_1
4	4386294	4388384	AT4G07566	0.0	+	4386294	4388384	0	1	2090	4386290	cluster_1
2	6265313	6269688	AT2G14650	0.0	-	6265313	6269688	0	1	4375	6265307	cluster_1
4	4019626	4021476	AT4G06720	0.0	-	4019626	4021476	0	1	1850	4019622	cluster_1
1	15504918	15507474	AT1G41730	0.0	-	15504918	15507474	0	1	2556	15504917	cluster_1
4	3493210	3494235	AT4G06562	0.0	+	3493210	3494235	0	1	1025	3493207	cluster_1
1	13782102	13784776	AT1G36530	0.0	-	13782102	13784776	0	1	2674	13782101	cluster_1
5	12398111	12400792	AT5G33025	0.0	+	12398111	12400792	0	1	2681	12398110	cluster_1
1	14226804	14232764	AT1G37405	0.0	+	14226804	14232764	0	1	5960	14226803	cluster_1
5	12238158	12240479	AT5G32594	0.0	+	12238158	12240479	0	1	2321	12238157	cluster_1
2	4231553	4235631	AT2G10760	0.0	+	4231553	4235631	0	1	4078	4231549	cluster_1
5	11777654	11779488	AT5G31963	0.0	+	11777654	11779488	0	1	1834	11777653	cluster_1
1	15503360	15503986	AT1G41726	0.0	+	15503360	15503986	0	1	626	15503359	cluster_1
4	3265497	3266252	AT4G06512	0.0	-	3265497	3266252	0	1	755	3265494	cluster_1
5	12042600	12043202	AT5G32430	0.0	-	12042600	12043202	0	1	602	12042599	cluster_1
4	5129185	5133659	AT4G08138	0.0	-	5129185	5133659	0	1	4474	5129180	cluster_1
1	14234557	14237169	AT1G37471	0.0	+	14234557	14237169	0	1	2612	14234556	cluster_1
1	13660680	13665533	AT1G36305	0.0	+	13660680	13665533	0	1	4853	13660679	cluster_1
5	7034188	7034883	AT5G20770	0.0	-	7034188	7034883	0	1	695	7034181	cluster_1
4	3276379	3279171	AT4G06516	0.0	+	3276379	3279171	0	1	2792	3276376	cluster_1
5	10583773	10587294	AT5G28593	0.0	+	10583773	10587294	0	1	3521	10583772	cluster_1
5	12142711	12144657	AT5G32511	0.0	-	12142711	12144657	0	1	1946	12142710	cluster_1
4	4280079	4282831	AT4G07492	0.0	+	4280079	4282831	0	1	2752	4280075	cluster_1
4	14283564	14287590	AT4G28970	0.0	-	14283564	14287590	0	1	4026	14283563	cluster_1
5	12286881	12288728	AT5G32627	0.0	-	12286881	12288728	0	1	1847	12286880	cluster_1
3	17434493	17436912	AT3G47330	0.0	-	17434493	17436912	0	1	2419	17434492	cluster_1
1	14487343	14488365	AT1G38440	0.0	+	14487343	14488365	0	1	1022	14487342	cluster_1
5	11937173	11939908	AT5G32293	0.0	+	11937173	11939908	0	1	2735	11937172	cluster_1
5	13264941	13270577	AT5G34985	0.0	-	13264941	13270577	0	1	5636	13264940	cluster_1
1	15488097	15491832	AT1G41700	0.0	-	15488097	15491832	0	1	3735	15488096	cluster_1
3	13631493	13634029	AT3G33072	0.0	-	13631493	13634029	0	1	2536	13631492	cluster_1
2	2489661	2494283	AT2G06310	0.0	+	2489661	2494283	0	1	4622	2489659	cluster_1
2	4208578	4209411	AT2G10740	0.0	-	4208578	4209411	0	1	833	4208574	cluster_1
2	3973249	3975866	AT2G10320	0.0	+	3973249	3975866	0	1	2617	3973246	cluster_1
4	3736670	3738067	AT4G06622	0.0	-	3736670	3738067	0	1	1397	3736667	cluster_1
5	12135292	12137910	AT5G32505	0.0	-	12135292	12137910	0	1	2618	12135291	cluster_1
1	14248948	14251512	AT1G37669	0.0	+	14248948	14251512	0	1	2564	14248947	cluster_1
4	3494245	3496224	AT4G06563	0.0	-	3494245	3496224	0	1	1979	3494242	cluster_1
4	4409776	4414629	AT4G07600	0.0	+	4409776	4414629	0	1	4853	4409772	cluster_1
5	12469886	12470725	AT5G33223	0.0	-	12469886	12470725	0	1	839	12469885	cluster_1
2	3862892	3863553	AT2G10175	0.0	-	3862892	3863553	0	1	661	3862889	cluster_1
5	12641507	12644260	AT5G33388	0.0	+	12641507	12644260	0	1	2753	12641506	cluster_1
4	3913062	3914818	AT4G06684	0.0	+	3913062	3914818	0	1	1756	3913059	cluster_1
2	2405456	2408255	AT2G06160	0.0	-	2405456	2408255	0	1	2799	2405454	cluster_1
2	4190009	4192940	AT2G10670	0.0	-	4190009	4192940	0	1	2931	4190005	cluster_1
3	12247335	12253398	AT3G30695	0.0	-	12247335	12253398	0	1	6063	12247334	cluster_1
4	3691813	3697533	AT4G06605	0.0	+	3691813	3697533	0	1	5720	3691810	cluster_1
3	13635040	13637775	AT3G33071	0.0	-	13635040	13637775	0	1	2735	13635039	cluster_1
1	15839908	15845642	AT1G42375	0.0	-	15839908	15845642	0	1	5734	15839907	cluster_1
4	3908146	3912063	AT4G06682	0.0	+	3908146	3912063	0	1	3917	3908143	cluster_1
1	15422187	15422672	AT1G40076	0.0	+	15422187	15422672	0	1	485	15422186	cluster_1
5	11803545	11806277	AT5G32071	0.0	-	11803545	11806277	0	1	2732	11803544	cluster_1
5	10589694	10592511	AT5G28596	0.0	+	10589694	10592511	0	1	2817	10589693	cluster_1
3	12244881	12245501	AT3G30690	0.0	-	12244881	12245501	0	1	620	12244880	cluster_1
1	19339341	19345112	AT1G52020	0.0	-	19339341	19345112	0	1	5771	19339340	cluster_1
2	3764537	3766233	AT2G09930	0.0	-	3764537	3766233	0	1	1696	3764534	cluster_1
5	11836787	11838733	AT5G32197	0.0	+	11836787	11838733	0	1	1946	11836786	cluster_1
2	3967933	3971356	AT2G10310	0.0	-	3967933	3971356	0	1	3423	3967930	cluster_1
4	4178491	4180361	AT4G07355	0.0	-	4178491	4180361	0	1	1870	4178487	cluster_1
1	15824726	15826576	AT1G42360	0.0	-	15824726	15826576	0	1	1850	15824725	cluster_1
3	14411778	14413179	AT3G42253	0.0	+	14411778	14413179	0	1	1401	14411777	cluster_1
5	12343225	12348933	AT5G32750	0.0	-	12343225	12348933	0	1	5708	12343224	cluster_1
5	14827030	14829390	AT5G37383	0.0	+	14827030	14829390	0	1	2360	14827029	cluster_1
2	5576997	5577824	AT2G13400	0.0	+	5576997	5577824	0	1	827	5576992	cluster_1
4	3378994	3379379	AT4G06541	0.0	+	3378994	3379379	0	1	385	3378991	cluster_1
1	14241087	14242190	AT1G37537	0.0	+	14241087	14242190	0	1	1103	14241086	cluster_1
4	5068500	5073638	AT4G08114	0.0	-	5068500	5073638	0	1	5138	5068495	cluster_1
4	4422655	4425460	AT4G07630	0.0	+	4422655	4425460	0	1	2805	4422651	cluster_1
4	4773564	4776647	AT4G07942	0.0	+	4773564	4776647	0	1	3083	4773560	cluster_1
4	4382464	4385487	AT4G07563	0.0	-	4382464	4385487	0	1	3023	4382460	cluster_1
1	20313856	20319554	AT1G54430	0.0	-	20313856	20319554	0	1	5698	20313854	cluster_1
4	2890234	2891139	AT4G05588	0.0	+	2890234	2891139	0	1	905	2890232	cluster_1
3	13404997	13406508	AT3G32880	0.0	-	13404997	13406508	0	1	1511	13404996	cluster_1
1	14243165	14245015	AT1G37603	0.0	+	14243165	14245015	0	1	1850	14243164	cluster_1
4	3869799	3871808	AT4G06664	0.0	-	3869799	3871808	0	1	2009	3869796	cluster_1
3	14434094	14435671	AT3G42257	0.0	+	14434094	14435671	0	1	1577	14434093	cluster_1
3	12329195	12331993	AT3G30717	0.0	+	12329195	12331993	0	1	2798	12329194	cluster_1
4	4036982	4039699	AT4G06734	0.0	+	4036982	4039699	0	1	2717	4036978	cluster_1
2	5377427	5378146	AT2G13070	0.0	+	5377427	5378146	0	1	719	5377422	cluster_1
3	13607765	13608786	AT3G33085	0.0	+	13607765	13608786	0	1	1021	13607764	cluster_1
2	3884130	3886618	AT2G10200	0.0	-	3884130	3886618	0	1	2488	3884127	cluster_1
1	16522213	16524114	AT1G43750	0.0	-	16522213	16524114	0	1	1901	16522212	cluster_1
2	1761804	1762378	AT2G05000	0.0	-	1761804	1762378	0	1	574	1761803	cluster_1
3	13407992	13410776	AT3G32890	0.0	-	13407992	13410776	0	1	2784	13407991	cluster_1
2	5104418	5105816	AT2G12520	0.0	-	5104418	5105816	0	1	1398	5104413	cluster_1
4	4418650	4421820	AT4G07620	0.0	+	4418650	4421820	0	1	3170	4418646	cluster_1
5	12070642	12071381	AT5G32434	0.0	-	12070642	12071381	0	1	739	12070641	cluster_1
1	14501393	14505229	AT1G38460	0.0	+	14501393	14505229	0	1	3836	14501392	cluster_1
2	4154975	4155602	AT2G10617	0.0	+	4154975	4155602	0	1	627	4154971	cluster_1
5	12770435	12776410	AT5G33624	0.0	-	12770435	12776410	0	1	5975	12770434	cluster_1
5	12009112	12011820	AT5G32402	0.0	+	12009112	12011820	0	1	2708	12009111	cluster_1
2	2378200	2381130	AT2G06110	0.0	-	2378200	2381130	0	1	2930	2378198	cluster_1
3	15156980	15158401	AT3G43157	0.0	+	15156980	15158401	0	1	1421	15156979	cluster_1
5	11846410	11848350	AT5G32228	0.0	+	11846410	11848350	0	1	1940	11846409	cluster_1
1	14316988	14319492	AT1G38158	0.0	+	14316988	14319492	0	1	2504	14316987	cluster_1
4	1695206	1697152	AT4G03795	0.0	-	1695206	1697152	0	1	1946	1695205	cluster_1
5	12131937	12133832	AT5G32495	0.0	-	12131937	12133832	0	1	1895	12131936	cluster_1
4	5060280	5063306	AT4G08112	0.0	-	5060280	5063306	0	1	3026	5060275	cluster_1
3	14423424	14432589	AT3G42256	0.0	-	14423424	14432589	0	1	9165	14423423	cluster_1
1	13942799	13945667	AT1G36795	0.0	-	13942799	13945667	0	1	2868	13942798	cluster_1
1	15179141	15179593	AT1G40115	0.0	+	15179141	15179593	0	1	452	15179140	cluster_1
1	13788723	13792563	AT1G36540	0.0	+	13788723	13792563	0	1	3840	13788722	cluster_1
1	15448706	15452414	AT1G40630	0.0	-	15448706	15452414	0	1	3708	15448705	cluster_1
4	4560551	4565947	AT4G07755	0.0	-	4560551	4565947	0	1	5396	4560547	cluster_1
5	11842365	11845100	AT5G32215	0.0	+	11842365	11845100	0	1	2735	11842364	cluster_1
1	15514268	15517653	AT1G41743	0.0	-	15514268	15517653	0	1	3385	15514267	cluster_1
5	11182706	11184514	AT5G29550	0.0	-	11182706	11184514	0	1	1808	11182705	cluster_1
1	16285963	16286376	AT1G43205	0.0	-	16285963	16286376	0	1	413	16285962	cluster_1
4	4041130	4043094	AT4G06736	0.0	+	4041130	4043094	0	1	1964	4041126	cluster_1
4	1688258	1694030	AT4G03790	0.0	-	1688258	1694030	0	1	5772	1688257	cluster_1
4	3013278	3013859	AT4G05636	0.0	+	3013278	3013859	0	1	581	3013275	cluster_1
5	12102512	12104578	AT5G32475	0.0	-	12102512	12104578	0	1	2066	12102511	cluster_1
4	3627035	3629397	AT4G06592	0.0	-	3627035	3629397	0	1	2362	3627032	cluster_1
2	2877624	2880656	AT2G06967	0.0	-	2877624	2880656	0	1	3032	2877622	cluster_1
4	4415059	4416131	AT4G07605	0.0	+	4415059	4416131	0	1	1072	4415055	cluster_1
2	3858670	3861660	AT2G10170	0.0	-	3858670	3861660	0	1	2990	3858667	cluster_1
3	12496550	12500646	AT3G30811	0.0	-	12496550	12500646	0	1	4096	12496549	cluster_1
2	4287911	4291049	AT2G10890	0.0	-	4287911	4291049	0	1	3138	4287907	cluster_1
4	3547763	3549640	AT4G06576	0.0	+	3547763	3549640	0	1	1877	3547760	cluster_1
4	4763260	4768709	AT4G07938	0.0	+	4763260	4768709	0	1	5449	4763256	cluster_1
1	16513076	16515138	AT1G43740	0.0	-	16513076	16515138	0	1	2062	16513075	cluster_1
4	3906565	3907341	AT4G06680	0.0	-	3906565	3907341	0	1	776	3906562	cluster_1
2	2402284	2405055	AT2G06150	0.0	-	2402284	2405055	0	1	2771	2402282	cluster_1
1	13181478	13186236	AT1G35647	0.0	-	13181478	13186236	0	1	4758	13181477	cluster_1
4	4306232	4307692	AT4G07504	0.0	+	4306232	4307692	0	1	1460	4306228	cluster_1
2	4177220	4182769	AT2G10660	0.0	+	4177220	4182769	0	1	5549	4177216	cluster_1
3	14979792	14982680	AT3G42913	0.0	+	14979792	14982680	0	1	2888	14979791	cluster_1
2	3079610	3083902	AT2G07410	0.0	-	3079610	3083902	0	1	4292	3079607	cluster_1
4	3015180	3021314	AT4G05638	0.0	+	3015180	3021314	0	1	6134	3015177	cluster_1
2	2447770	2448513	AT2G06245	0.0	+	2447770	2448513	0	1	743	2447768	cluster_1
5	11692642	11695374	AT5G31736	0.0	-	11692642	11695374	0	1	2732	11692641	cluster_1
1	4406318	4406746	AT1G12935	0.0	-	4406318	4406746	0	1	428	4406314	cluster_1
4	4895659	4901632	AT4G08050	0.0	-	4895659	4901632	0	1	5973	4895655	cluster_1
5	12232551	12235535	AT5G32593	0.0	+	12232551	12235535	0	1	2984	12232550	cluster_1
5	12140385	12140969	AT5G32515	0.0	-	12140385	12140969	0	1	584	12140384	cluster_1
4	4186041	4188335	AT4G07370	0.0	+	4186041	4188335	0	1	2294	4186037	cluster_1
1	14453712	14456432	AT1G38400	0.0	+	14453712	14456432	0	1	2720	14453711	cluster_1
4	4035315	4035704	AT4G06732	0.0	+	4035315	4035704	0	1	389	4035311	cluster_1
3	14152323	14154341	AT3G38525	0.0	+	14152323	14154341	0	1	2018	14152322	cluster_1
3	13617214	13619474	AT3G33079	0.0	-	13617214	13619474	0	1	2260	13617213	cluster_1
4	4244696	4246537	AT4G07458	0.0	+	4244696	4246537	0	1	1841	4244692	cluster_1
5	11909710	11913389	AT5G32254	0.0	-	11909710	11913389	0	1	3679	11909709	cluster_1
5	12129478	12130279	AT5G32490	0.0	-	12129478	12130279	0	1	801	12129477	cluster_1
4	4434719	4436197	AT4G07650	0.0	+	4434719	4436197	0	1	1478	4434715	cluster_1
5	12402098	12408478	AT5G33050	0.0	+	12402098	12408478	0	1	6380	12402097	cluster_1
3	13614162	13616153	AT3G33081	0.0	-	13614162	13616153	0	1	1991	13614161	cluster_1
1	15457545	15460358	AT1G41115	0.0	+	15457545	15460358	0	1	2813	15457544	cluster_1
3	12479457	12484302	AT3G30802	0.0	+	12479457	12484302	0	1	4845	12479456	cluster_1
4	3931412	3934516	AT4G06694	0.0	-	3931412	3934516	0	1	3104	3931409	cluster_1
1	14313049	14315934	AT1G38149	0.0	+	14313049	14315934	0	1	2885	14313048	cluster_1
4	3546466	3547080	AT4G06575	0.0	-	3546466	3547080	0	1	614	3546463	cluster_1
4	5023304	5026290	AT4G08105	0.0	-	5023304	5026290	0	1	2986	5023299	cluster_1
5	13327814	13328383	AT5G35061	0.0	-	13327814	13328383	0	1	569	13327813	cluster_1
5	10738453	10744395	AT5G28696	0.0	-	10738453	10744395	0	1	5942	10738452	cluster_1
5	12996228	12997214	AT5G34835	0.0	+	12996228	12997214	0	1	986	12996227	cluster_1
5	12138752	12139374	AT5G32510	0.0	-	12138752	12139374	0	1	622	12138751	cluster_1
4	3904318	3905304	AT4G06678	0.0	-	3904318	3905304	0	1	986	3904315	cluster_1
5	11749394	11752198	AT5G31891	0.0	-	11749394	11752198	0	1	2804	11749393	cluster_1
3	12189146	12191103	AT3G30620	0.0	-	12189146	12191103	0	1	1957	12189145	cluster_1
2	5365832	5367696	AT2G13040	0.0	+	5365832	5367696	0	1	1864	5365827	cluster_1
4	3350166	3352838	AT4G06532	0.0	-	3350166	3352838	0	1	2672	3350163	cluster_1
5	11715184	11721564	AT5G31804	0.0	-	11715184	11721564	0	1	6380	11715183	cluster_1
4	1811323	1812054	AT4G03865	0.0	+	1811323	1812054	0	1	731	1811322	cluster_1
1	16382157	16386291	AT1G43444	0.0	-	16382157	16386291	0	1	4134	16382156	cluster_1
