V1	V2	V3	V4		
GSM2130941	FRiP	score:	0.366466134		36.64661345
GSM2130913	FRiP	score:	0.364702952		36.47029517
GSM4074141	FRiP	score:	0.364278038		36.42780383
GSM2130901	FRiP	score:	0.364252267		36.42522674
GSM1925560	FRiP	score:	0.362915874		36.29158741
GSM1925598	FRiP	score:	0.361315005		36.13150051
GSM2130971	FRiP	score:	0.361241268		36.12412683
GSM1925849	FRiP	score:	0.359780339		35.97803394
GSM2130958	FRiP	score:	0.359081212		35.90812119
GSM1499339	FRiP	score:	0.358765929		35.87659292
GSM1925126	FRiP	score:	0.358755743		35.87557435
GSM3671318	FRiP	score:	0.357743375		35.77433755
GSM2130946	FRiP	score:	0.357413871		35.74138715
GSM1618745	FRiP	score:	0.356895868		35.6895868
GSM1925725	FRiP	score:	0.355994841		35.59948414
GSM1925502	FRiP	score:	0.355618577		35.56185771
GSM1925626	FRiP	score:	0.35550881		35.550881
GSM1925786	FRiP	score:	0.354676719		35.46767192
GSM2130960	FRiP	score:	0.353918438		35.39184378
GSM1925743	FRiP	score:	0.353894664		35.38946644
GSM1925177	FRiP	score:	0.353732024		35.37320242
GSM1925737	FRiP	score:	0.353455567		35.34555667
GSM3671325	FRiP	score:	0.353115375		35.31153753
GSM1925921	FRiP	score:	0.351545129		35.15451289
GSM2130959	FRiP	score:	0.351263812		35.1263812
GSM2130926	FRiP	score:	0.349977136		34.99771361
GSM2130896	FRiP	score:	0.349784677		34.97846772
GSM1925552	FRiP	score:	0.349517753		34.95177527
GSM1925201	FRiP	score:	0.349481273		34.94812733
GSM1925117	FRiP	score:	0.349188988		34.91889882
GSM1925357	FRiP	score:	0.349029259		34.90292589
GSM1925681	FRiP	score:	0.348688606		34.86886058
GSM1925920	FRiP	score:	0.348578809		34.85788094
GSM1925689	FRiP	score:	0.347775697		34.77756968
GSM1925136	FRiP	score:	0.347571301		34.75713012
GSM1925196	FRiP	score:	0.346960667		34.69606675
GSM2095553	FRiP	score:	0.346805106		34.68051056
GSM2130927	FRiP	score:	0.345668844		34.56688436
GSM2130893	FRiP	score:	0.345555215		34.5555215
GSM1925590	FRiP	score:	0.345543311		34.55433108
GSM1925566	FRiP	score:	0.345214149		34.52141491
GSM2130928	FRiP	score:	0.344310315		34.43103149
GSM2130903	FRiP	score:	0.344258725		34.42587249
GSM1925868	FRiP	score:	0.342095878		34.20958784
GSM2130911	FRiP	score:	0.34206005		34.20600501
GSM1264688	FRiP	score:	0.341908968		34.19089682
GSM1466346	FRiP	score:	0.341720673		34.17206729
GSM1466345	FRiP	score:	0.341720673		34.17206729
GSM1925869	FRiP	score:	0.341573917		34.15739166
GSM1925134	FRiP	score:	0.33979866		33.97986596
GSM1925755	FRiP	score:	0.339475302		33.94753017
GSM3092815	FRiP	score:	0.338990697		33.8990697
GSM1925146	FRiP	score:	0.338946727		33.89467266
GSM2130904	FRiP	score:	0.337977974		33.79779743
GSM1925169	FRiP	score:	0.335191725		33.51917247
GSM1925274	FRiP	score:	0.333671859		33.36718592
GSM1925032	FRiP	score:	0.333362813		33.3362813
GSM1925591	FRiP	score:	0.333197949		33.31979493
GSM958793	FRiP	score:	0.332346443		33.23464426
GSM2130891	FRiP	score:	0.332069835		33.20698352
GSM1925017	FRiP	score:	0.331754125		33.17541255
GSM1925529	FRiP	score:	0.331570335		33.15703349
GSM1925127	FRiP	score:	0.330879293		33.08792932
GSM1925554	FRiP	score:	0.330863221		33.08632209
GSM1925068	FRiP	score:	0.330715937		33.07159374
GSM1925640	FRiP	score:	0.330701803		33.07018027
GSM1925816	FRiP	score:	0.33054613		33.05461304
GSM1925382	FRiP	score:	0.327690329		32.76903288
GSM1925817	FRiP	score:	0.326570751		32.65707512
GSM1925498	FRiP	score:	0.326465882		32.64658819
GSM1925678	FRiP	score:	0.325405704		32.54057038
GSM1925226	FRiP	score:	0.324522658		32.45226584
GSM2130969	FRiP	score:	0.323693448		32.36934478
GSM1925521	FRiP	score:	0.322618177		32.26181775
GSM1925547	FRiP	score:	0.322031641		32.20316406
GSM1925174	FRiP	score:	0.321641628		32.16416284
GSM1925288	FRiP	score:	0.320422684		32.04226843
GSM1925648	FRiP	score:	0.317128466		31.71284663
GSM2130952	FRiP	score:	0.313868468		31.38684681
GSM1925194	FRiP	score:	0.313198359		31.31983593
GSM1925200	FRiP	score:	0.313005815		31.30058155
GSM2130980	FRiP	score:	0.312201777		31.22017767
GSM1925386	FRiP	score:	0.311927702		31.19277022
GSM1925353	FRiP	score:	0.31146145		31.14614497
GSM2130950	FRiP	score:	0.310877741		31.08777414
GSM2130899	FRiP	score:	0.310271885		31.02718848
GSM1925040	FRiP	score:	0.309694071		30.96940709
GSM2130938	FRiP	score:	0.309277809		30.92778094
GSM1848701	FRiP	score:	0.308766972		30.87669716
GSM1925151	FRiP	score:	0.308226019		30.82260192
GSM1925333	FRiP	score:	0.308191668		30.81916679
GSM1925894	FRiP	score:	0.307709437		30.77094374
GSM1925071	FRiP	score:	0.307287185		30.72871848
GSM2471042	FRiP	score:	0.306142239		30.61422387
GSM2130922	FRiP	score:	0.305666771		30.56667712
GSM1925334	FRiP	score:	0.305666529		30.56665291
GSM2130919	FRiP	score:	0.305598132		30.55981323
GSM2095554	FRiP	score:	0.305524627		30.55246269
GSM1665429	FRiP	score:	0.305436172		30.54361721
SRX1550154	FRiP	score:	0.305320529		30.53205292
GSM1925649	FRiP	score:	0.305246132		30.52461316
GSM1925893	FRiP	score:	0.305073377		30.50733766
GSM2130968	FRiP	score:	0.303057723		30.30577225
GSM2130970	FRiP	score:	0.301367193		30.13671927
GSM2130881	FRiP	score:	0.301255566		30.12555657
GSM1925565	FRiP	score:	0.300776202		30.0776202
GSM1925680	FRiP	score:	0.300191765		30.01917651
GSM2130956	FRiP	score:	0.300032992		30.00329922
GSM2130902	FRiP	score:	0.299708231		29.97082311
GSM2130973	FRiP	score:	0.299350548		29.93505476
GSM2130964	FRiP	score:	0.29921602		29.92160201
GSM1466344	FRiP	score:	0.297976916		29.79769164
GSM1466343	FRiP	score:	0.297976916		29.79769164
GSM1925438	FRiP	score:	0.297557578		29.75575779
GSM2130978	FRiP	score:	0.297366136		29.73661364
GSM1925093	FRiP	score:	0.297225966		29.72259658
GSM1925848	FRiP	score:	0.296922497		29.69224973
GSM3671327	FRiP	score:	0.296824581		29.6824581
GSM889585	FRiP	score:	0.296647815		29.6647815
GSM1925631	FRiP	score:	0.296270677		29.62706772
GSM2130915	FRiP	score:	0.29577194		29.57719405
GSM1925557	FRiP	score:	0.295537482		29.55374821
GSM2130869	FRiP	score:	0.295232555		29.52325546
GSM4455284	FRiP	score:	0.29459965		29.45996497
GSM1925666	FRiP	score:	0.294547283		29.45472827
GSM2130906	FRiP	score:	0.293940264		29.39402642
GSM2095555	FRiP	score:	0.29284885		29.28488497
GSM1925833	FRiP	score:	0.292659195		29.26591949
GSM1925558	FRiP	score:	0.292361839		29.23618389
GSM1925773	FRiP	score:	0.291820944		29.18209438
SRX1553099	FRiP	score:	0.29159608		29.15960797
GSM2130940	FRiP	score:	0.291478476		29.14784759
GSM1925350	FRiP	score:	0.29143083		29.14308304
GSM2130916	FRiP	score:	0.290706759		29.07067594
GSM1925777	FRiP	score:	0.289714471		28.97144707
GSM1925885	FRiP	score:	0.289657201		28.96572009
GSM1925798	FRiP	score:	0.289459973		28.94599725
GSM1925520	FRiP	score:	0.289236821		28.92368208
GSM1925884	FRiP	score:	0.289067515		28.90675153
GSM1925810	FRiP	score:	0.288830445		28.8830445
GSM1925932	FRiP	score:	0.288628805		28.86288052
GSM1463810	FRiP	score:	0.287788137		28.77881369
GSM1925933	FRiP	score:	0.287724927		28.77249269
GSM1925839	FRiP	score:	0.286005838		28.60058377
GSM2130972	FRiP	score:	0.285571241		28.55712408
GSM2559580	FRiP	score:	0.285452696		28.54526962
GSM1925704	FRiP	score:	0.285199383		28.51993832
GSM1925875	FRiP	score:	0.28477098		28.47709803
GSM1925874	FRiP	score:	0.284304205		28.43042048
GSM2130889	FRiP	score:	0.284119207		28.41192071
GSM2559581	FRiP	score:	0.28393433		28.393433
GSM3671322	FRiP	score:	0.283916016		28.39160158
GSM3671324	FRiP	score:	0.283656268		28.36562684
GSM2130888	FRiP	score:	0.283652452		28.36524516
GSM2130900	FRiP	score:	0.282983993		28.29839929
GSM1925004	FRiP	score:	0.282571438		28.25714384
GSM1925006	FRiP	score:	0.28022992		28.02299199
GSM2095556	FRiP	score:	0.280186017		28.0186017
GSM2130885	FRiP	score:	0.280038862		28.00388622
GSM1925204	FRiP	score:	0.279659711		27.9659711
GSM605657	FRiP	score:	0.279304774		27.93047743
GSM1925501	FRiP	score:	0.276239536		27.62395355
GSM2130914	FRiP	score:	0.276186568		27.61865685
GSM2130908	FRiP	score:	0.275220152		27.52201523
GSM1925696	FRiP	score:	0.275213492		27.52134915
GSM1925325	FRiP	score:	0.275092333		27.50923325
GSM1925843	FRiP	score:	0.275090557		27.50905567
GSM1925693	FRiP	score:	0.274000409		27.4000409
GSM2130879	FRiP	score:	0.272352196		27.2352196
GSM1925493	FRiP	score:	0.271979264		27.19792642
GSM2130912	FRiP	score:	0.271343486		27.13434858
GSM1925563	FRiP	score:	0.269468624		26.94686244
GSM1925519	FRiP	score:	0.26902589		26.90258896
GSM1925092	FRiP	score:	0.268353244		26.83532435
GSM1925009	FRiP	score:	0.267169767		26.71697666
GSM1925459	FRiP	score:	0.266165487		26.61654868
GSM1925100	FRiP	score:	0.265502357		26.55023573
GSM1925862	FRiP	score:	0.265482342		26.54823416
GSM1925863	FRiP	score:	0.265365121		26.53651211
GSM1925294	FRiP	score:	0.265203956		26.52039561
GSM1925914	FRiP	score:	0.26470912		26.47091204
GSM1925181	FRiP	score:	0.263973269		26.39732687
GSM1419608	FRiP	score:	0.26251903		26.25190301
GSM2130917	FRiP	score:	0.260628451		26.06284512
GSM1925483	FRiP	score:	0.260570717		26.05707171
GSM2130887	FRiP	score:	0.259727125		25.9727125
GSM1925396	FRiP	score:	0.259163688		25.91636882
GSM1925387	FRiP	score:	0.259087491		25.90874914
GSM1925327	FRiP	score:	0.259006583		25.90065832
GSM2130910	FRiP	score:	0.25819205		25.81920502
GSM3671316	FRiP	score:	0.258146899		25.8146899
GSM2130877	FRiP	score:	0.257855374		25.78553737
GSM1925070	FRiP	score:	0.257126608		25.71266076
GSM2130892	FRiP	score:	0.256731885		25.67318853
GSM1925742	FRiP	score:	0.256638462		25.6638462
GSM1925155	FRiP	score:	0.256204853		25.6204853
GSM3666091	FRiP	score:	0.255842385		25.58423854
GSM1925594	FRiP	score:	0.255509506		25.55095062
SRX732967	FRiP	score:	0.253535523		25.35355233
GSM1925099	FRiP	score:	0.252261315		25.22613154
GSM2130933	FRiP	score:	0.251378332		25.13783318
GSM1925385	FRiP	score:	0.25049967		25.04996695
GSM1925623	FRiP	score:	0.250181294		25.01812943
GSM1925627	FRiP	score:	0.249981815		24.9981815
GSM1925906	FRiP	score:	0.249660663		24.96606632
GSM2130878	FRiP	score:	0.249395954		24.93959535
GSM3671323	FRiP	score:	0.24929872		24.92987201
GSM506209	FRiP	score:	0.247280335		24.72803345
GSM2130868	FRiP	score:	0.247217148		24.72171482
GSM1925792	FRiP	score:	0.246929194		24.69291937
GSM1925184	FRiP	score:	0.246396269		24.63962686
GSM1925583	FRiP	score:	0.246345662		24.63456619
GSM1925528	FRiP	score:	0.246341		24.63410001
GSM1925428	FRiP	score:	0.245877242		24.58772415
GSM1925690	FRiP	score:	0.244362129		24.43621285
GSM1925250	FRiP	score:	0.244311886		24.43118864
GSM1925416	FRiP	score:	0.24419888		24.41988801
GSM1925504	FRiP	score:	0.244127293		24.4127293
GSM1925242	FRiP	score:	0.243954965		24.39549653
GSM1925922	FRiP	score:	0.243929607		24.39296069
GSM1925686	FRiP	score:	0.243403385		24.34033854
GSM3671320	FRiP	score:	0.242452688		24.24526877
GSM1925443	FRiP	score:	0.242076396		24.20763959
GSM1925923	FRiP	score:	0.241336665		24.13366652
GSM1925345	FRiP	score:	0.24107976		24.107976
GSM1925545	FRiP	score:	0.240593234		24.0593234
GSM1925655	FRiP	score:	0.239567462		23.9567462
GSM1925918	FRiP	score:	0.239188075		23.91880754
GSM1925282	FRiP	score:	0.238909717		23.89097172
GSM1925319	FRiP	score:	0.235950027		23.59500266
GSM1925629	FRiP	score:	0.235914643		23.5914643
GSM1925167	FRiP	score:	0.235687271		23.5687271
GSM1925090	FRiP	score:	0.234890849		23.48908489
SRX215430	FRiP	score:	0.233824533		23.38245333
GSM1925310	FRiP	score:	0.233502213		23.35022126
GSM1925919	FRiP	score:	0.232836359		23.2836359
GSM1925074	FRiP	score:	0.232619073		23.26190727
GSM1925332	FRiP	score:	0.232606187		23.26061874
GSM1925425	FRiP	score:	0.232568445		23.25684448
GSM1925845	FRiP	score:	0.23151275		23.15127499
SRX733467	FRiP	score:	0.230081127		23.00811274
GSM1925029	FRiP	score:	0.230067132		23.00671325
GSM1925008	FRiP	score:	0.229790381		22.97903806
GSM1925500	FRiP	score:	0.229417773		22.94177728
GSM1925185	FRiP	score:	0.227857848		22.78578481
GSM2130966	FRiP	score:	0.227568344		22.75683437
GSM1925293	FRiP	score:	0.227086736		22.70867361
GSM1925834	FRiP	score:	0.226915975		22.69159746
GSM1925338	FRiP	score:	0.226432217		22.64322168
GSM2857902	FRiP	score:	0.22620312		22.62031197
GSM1925852	FRiP	score:	0.226127319		22.61273194
SRX215475	FRiP	score:	0.225664995		22.56649953
GSM1925723	FRiP	score:	0.225115768		22.51157683
GSM1925667	FRiP	score:	0.225040002		22.50400015
GSM1925911	FRiP	score:	0.224892651		22.48926507
GSM1925605	FRiP	score:	0.224230587		22.42305867
GSM2095557	FRiP	score:	0.224043544		22.40435441
GSM1925302	FRiP	score:	0.223097726		22.3097726
GSM1925534	FRiP	score:	0.223066028		22.3066028
GSM2130921	FRiP	score:	0.22159612		22.15961199
GSM1925125	FRiP	score:	0.219391418		21.93914177
GSM1925258	FRiP	score:	0.218454302		21.84543022
GSM3530728	FRiP	score:	0.218141231		21.81412315
GSM3671317	FRiP	score:	0.217777103		21.77771029
GSM1925505	FRiP	score:	0.21569066		21.56906596
GSM2130931	FRiP	score:	0.215086579		21.50865788
SRX733465	FRiP	score:	0.214618859		21.46188593
GSM1925812	FRiP	score:	0.214436787		21.44367867
GSM1925095	FRiP	score:	0.21331789		21.33178899
GSM1925550	FRiP	score:	0.211739534		21.17395344
GSM2130929	FRiP	score:	0.211672239		21.16722391
GSM1925088	FRiP	score:	0.211376351		21.13763511
GSM1925570	FRiP	score:	0.211190853		21.11908534
GSM1925904	FRiP	score:	0.210588424		21.05884242
GSM1925718	FRiP	score:	0.21036943		21.03694301
GSM1925171	FRiP	score:	0.209969732		20.99697322
GSM1925166	FRiP	score:	0.209694484		20.96944836
GSM1925806	FRiP	score:	0.209155692		20.9155692
GSM1429899	FRiP	score:	0.208708036		20.8708036
GSM1925182	FRiP	score:	0.208346718		20.83467179
GSM1925808	FRiP	score:	0.20805539		20.80553899
GSM2130909	FRiP	score:	0.207234956		20.72349562
GSM1419609	FRiP	score:	0.207141499		20.71414992
GSM1925706	FRiP	score:	0.206638064		20.66380644
GSM1925431	FRiP	score:	0.205539047		20.55390471
GSM861508	FRiP	score:	0.205437639		20.54376395
